2026-07-10 12:27:03,574 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:03,574 | INFO | Email loaded: email
2026-07-10 12:27:03,574 | INFO | Email loaded: gdhnss
2026-07-10 12:27:05,759 | INFO | Exchange connection successful
2026-07-10 12:27:05,762 | INFO | Exchange connection successful
2026-07-10 12:27:05,764 | INFO | Exchange connection successful
2026-07-10 12:27:05,764 | INFO | Exchange connection successful
2026-07-10 12:27:05,764 | INFO | Exchange connection successful
2026-07-10 12:27:05,766 | INFO | Exchange connection successful
2026-07-10 12:27:07,029 | INFO | Reading latest 5 emails
2026-07-10 12:27:07,235 | INFO | Reading latest 5 emails
2026-07-10 12:27:15,004 | INFO | Attachment found in: post 
2026-07-10 12:27:15,005 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:15,005 | INFO | Email loaded: post 
2026-07-10 12:27:15,006 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:27:15,032 | INFO | Email loaded: FRiday
2026-07-10 12:27:15,034 | INFO | Attachment found in: email
2026-07-10 12:27:15,034 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:15,034 | INFO | Email loaded: email
2026-07-10 12:27:15,035 | INFO | Email loaded: gdhnss
2026-07-10 12:27:22,432 | INFO | Attachment found in: post 
2026-07-10 12:27:22,434 | INFO | Reading latest 5 emails
2026-07-10 12:27:22,439 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:22,439 | INFO | Email loaded: post 
2026-07-10 12:27:22,442 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:27:22,472 | INFO | Email loaded: FRiday
2026-07-10 12:27:22,474 | INFO | Attachment found in: email
2026-07-10 12:27:22,474 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:22,474 | INFO | Email loaded: email
2026-07-10 12:27:22,475 | INFO | Email loaded: gdhnss
2026-07-10 12:27:35,665 | INFO | Attachment found in: post 
2026-07-10 12:27:35,667 | INFO | Reading latest 5 emails
2026-07-10 12:27:35,667 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:35,667 | INFO | Email loaded: post 
2026-07-10 12:27:35,678 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:27:35,731 | INFO | Email loaded: FRiday
2026-07-10 12:27:35,746 | INFO | Attachment found in: email
2026-07-10 12:27:35,746 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:35,746 | INFO | Email loaded: email
2026-07-10 12:27:35,754 | INFO | Email loaded: gdhnss
2026-07-10 12:27:35,932 | INFO | Reading latest 5 emails
2026-07-10 12:27:45,217 | INFO | Attachment found in: post 
2026-07-10 12:27:45,221 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:45,221 | INFO | Email loaded: post 
2026-07-10 12:27:45,223 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:27:45,255 | INFO | Email loaded: FRiday
2026-07-10 12:27:45,257 | INFO | Attachment found in: email
2026-07-10 12:27:45,263 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:45,265 | INFO | Email loaded: email
2026-07-10 12:27:45,267 | INFO | Email loaded: gdhnss
2026-07-10 12:27:45,332 | INFO | Reading latest 5 emails
2026-07-10 12:27:45,337 | INFO | Reading latest 5 emails
2026-07-10 12:27:45,343 | INFO | Reading latest 5 emails
2026-07-10 12:27:45,349 | INFO | Reading latest 5 emails
2026-07-10 12:27:45,356 | INFO | Reading latest 5 emails
2026-07-10 12:27:51,689 | INFO | Attachment found in: post 
2026-07-10 12:27:51,698 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:51,698 | INFO | Email loaded: post 
2026-07-10 12:27:51,700 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:27:51,734 | INFO | Email loaded: FRiday
2026-07-10 12:27:51,736 | INFO | Attachment found in: email
2026-07-10 12:27:51,743 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
